_input_part_number,_status,_error,KeyValuePairs
K469P03,ok_ata,,"Part No.: K469P03 | ATA Groups: POWER PLANT | Boeing Applicability: 767-400ER, 767-300F, 767-300BCF, 747-400ERF, 747-400PC, 747-400F, 767-200ERT, 767-300EREM, 767-200ER, 767-200EREM, 767-300, 747-400, 767-300ER, 767-200SF | Description: VANE | Type: ATA Chapters | RFQ: RFQ | Part No. URL: https://www.aviationsourcingsolutions.com/parts-by-ipc/ata-chapters/rfq/boeing-b747-400/power-plant-72/k469p03/"
K469P04,ok_ata,,"Part No.: K469P04 | ATA Groups: POWER PLANT | Boeing Applicability: 747-400ERF, 767-300ER, 767-300EREM, 767-200ERT, 767-200EREM, 767-300BCF, 767-200SF, 747-400PC, 767-300F, 767-200ER, 767-300, 747-400, 747-400F, 767-400ER | Description: VANE | Type: ATA Chapters | RFQ: RFQ | Part No. URL: https://www.aviationsourcingsolutions.com/parts-by-ipc/ata-chapters/rfq/boeing-b747-400/power-plant-72/k469p04/"
K465P03,ok_ata,,"Part No.: K465P03 | ATA Groups: POWER PLANT | Boeing Applicability: 767-300ER, 767-300, 767-200SF, 767-300EREM, 767-300BCF, 767-300F, 747-400ERF, 747-400PC, 767-400ER, 767-200ER, 747-400F, 767-200ERT, 747-400, 767-200EREM | Description: VANE | Type: ATA Chapters | RFQ: RFQ | Part No. URL: https://www.aviationsourcingsolutions.com/parts-by-ipc/ata-chapters/rfq/boeing-b747-400/power-plant-72/k465p03/"
K470P01,ok_ata,,"Part No.: K470P01 | ATA Groups: POWER PLANT | Boeing Applicability: 767-200ER, 767-200EREM, 747-400F, 767-400ER, 767-200SF, 747-400ERF, 767-200ERT, 767-300BCF, 767-300ER, 767-300F, 767-300, 747-400PC, 767-300EREM, 747-400 | Description: VANE | Type: ATA Chapters | RFQ: RFQ | Part No. URL: https://www.aviationsourcingsolutions.com/parts-by-ipc/ata-chapters/rfq/boeing-b747-400/power-plant-72/k470p01/"
2818M38G04,no_table_ata_or_component,,
F5757492600000,ok_component_fallback,,"Part No.: F5757492600000 | Manufacturer: Airbus | Part Type: N/A | QTY: Available | RFQ: RFQ | Part No. URL: https://www.aviationsourcingsolutions.com/rfq/airbus/f5757492600000/
---
Part No.: F5757492600000 | Manufacturer: Airbus France | Part Type: Sensor | QTY: Available | RFQ: RFQ | Part No. URL: https://www.aviationsourcingsolutions.com/rfq/airbus-france/f5757492600000/
---
Part No.: F5757492600000 | Manufacturer: Airbus Industries | Part Type: Sensor | QTY: Available | RFQ: RFQ | Part No. URL: https://www.aviationsourcingsolutions.com/rfq/airbus-industries/f5757492600000/"
A50A000-00-150,ok_ata,,Part No.: A50A000-00-150 | ATA Groups: AIRCRAFT SYSTEMS | Boeing Applicability: N/A | Description: MULTIFUNCTION CONTROL DISPLAY UNIT | Type: ATA Chapters | RFQ: RFQ | Part No. URL: https://www.aviationsourcingsolutions.com/parts-by-ipc/ata-chapters/rfq/embraer-erj190/aircraft-systems-34/a50a000-00-150/
1716280B,ok_ata,,Part No.: 1716280B | ATA Groups: AIRCRAFT SYSTEMS | Boeing Applicability: N/A | Description: SLAT OUTBOARD SKEW SENSOR LH | Type: ATA Chapters | RFQ: RFQ | Part No. URL: https://www.aviationsourcingsolutions.com/parts-by-ipc/ata-chapters/rfq/embraer-erj190/aircraft-systems-27/1716280b/
63292146-1,ok_ata,,"Part No.: 63292146-1 | ATA Groups: AIRCRAFT SYSTEMS | Boeing Applicability: 737-600, 737-800, 737-900ER, BBJ 737-700, 737-700, BBJ 737-800, 737-900, 737-700C | Description: VALVE | Type: ATA Chapters | RFQ: RFQ | Part No. URL: https://www.aviationsourcingsolutions.com/parts-by-ipc/ata-chapters/rfq/boeing-b737ng/aircraft-systems-36/63292146-1/"
NO FAULT FOUND FEE,no_table_ata_or_component,,
2920033-105,ok_ata,,"Part No.: 2920033-105 | ATA Groups: AIRCRAFT SYSTEMS | Boeing Applicability: 777-200LR, 777-300ER, 777-300, 777-200ER, 777-200 | Description: VALVE ASSY | Type: ATA Chapters | RFQ: RFQ | Part No. URL: https://www.aviationsourcingsolutions.com/parts-by-ipc/ata-chapters/rfq/boeing-b777/aircraft-systems-38/2920033-105/"
