repair_priority_rank,item_part_number,prob_sale_60d,priority_tier,top_driver_1,top_driver_2,top_driver_3
72,473857-4,0.1739883654095237,Low,sales_count_365d (-0.301),primary_platform_family (-0.080),demand_type (+0.076)
73,1150980-2,0.1718609165607644,Low,sales_count_365d (-0.303),demand_type (+0.114),primary_platform_family (-0.087)
74,3290744-10,0.1718609165607644,Low,sales_count_365d (-0.303),demand_type (+0.114),primary_platform_family (-0.087)
75,43100-21,0.17169727459643744,Low,sales_count_365d (+1.363),cv2 (-0.541),demand_type (-0.455)
76,RD-NB2600-01,0.16914506077780347,Low,sales_count_365d (-0.305),ata_groups (+0.108),platform_applicability_count (-0.093)
77,342381,0.1688101097546861,Low,sales_count_365d (-0.306),platform_applicability_count (-0.108),primary_platform_family (-0.080)
78,285W0029-4,0.16838447016630337,Low,sales_count_365d (-0.304),demand_type (+0.134),primary_platform_family (-0.080)
79,7718370-4,0.16838447016630337,Low,sales_count_365d (-0.304),demand_type (+0.134),primary_platform_family (-0.080)
80,7718140-6,0.16838447016630337,Low,sales_count_365d (-0.304),demand_type (+0.134),primary_platform_family (-0.080)
81,90-42603-1,0.16838447016630337,Low,sales_count_365d (-0.304),demand_type (+0.134),primary_platform_family (-0.080)
82,771070-1,0.16838447016630337,Low,sales_count_365d (-0.304),demand_type (+0.134),primary_platform_family (-0.080)
83,720710-09-59-08,0.16838447016630337,Low,sales_count_365d (-0.304),demand_type (+0.134),primary_platform_family (-0.080)
84,5A3109-1,0.16838447016630337,Low,sales_count_365d (-0.304),demand_type (+0.134),primary_platform_family (-0.080)
85,7716200-1,0.16838447016630337,Low,sales_count_365d (-0.304),demand_type (+0.134),primary_platform_family (-0.080)
86,DOOR CUTOUT L3,0.16745249608646517,Low,non_zero_periods (-0.401),sales_count_365d (-0.312),demand_type (+0.146)
87,285W0895-1,0.16703567073281264,Low,sales_count_365d (-0.303),primary_platform_family (-0.086),platform_applicability_count (-0.073)
88,RD-NB4313-01,0.16703567073281264,Low,sales_count_365d (-0.303),primary_platform_family (-0.086),platform_applicability_count (-0.073)
89,B43541-7,0.16530183322000733,Low,sales_count_365d (-0.307),platform_applicability_count (-0.110),primary_platform_family (-0.085)
90,D717-01-100,0.16453033180229967,Low,sales_count_365d (-0.300),boeing_767_flag (+0.266),platform_applicability_count (-0.192)
91,26405,0.16453033180229967,Low,sales_count_365d (-0.300),boeing_767_flag (+0.266),platform_applicability_count (-0.192)
92,1FA13043-14,0.16238290025571453,Low,sales_count_365d (-0.306),platform_applicability_count (-0.137),primary_platform_family (-0.107)
93,7425180-4,0.15975843558880665,Low,sales_count_365d (-0.304),demand_type (+0.110),primary_platform_family (-0.104)
94,4305890071,0.15874349181688158,Low,sales_count_365d (-0.308),primary_platform_family (-0.090),platform_applicability_count (-0.069)
95,746021,0.15792295546362525,Low,sales_count_365d (-0.306),ata_groups (+0.151),platform_applicability_count (-0.134)
96,568-1-29117-003,0.15657316271614719,Low,sales_count_365d (-0.304),primary_platform_family (-0.092),demand_type (+0.071)
97,8D187-2,0.15477337271234506,Low,sales_count_365d (-0.302),primary_platform_family (-0.096),platform_applicability_count (-0.071)
98,30-2303-15,0.14971392545339532,Low,sales_count_365d (-0.307),platform_applicability_count (-0.131),demand_type (+0.103)
99,31-8137-5,0.14971392545339532,Low,sales_count_365d (-0.307),platform_applicability_count (-0.131),demand_type (+0.103)
100,040000-1,0.14971392545339532,Low,sales_count_365d (-0.307),platform_applicability_count (-0.131),demand_type (+0.103)
101,285W0863-7,0.14946358699364265,Low,sales_count_365d (-0.325),non_zero_periods (-0.284),demand_type (+0.238)
102,7718140-5,0.14347760660086173,Low,sales_count_365d (-0.316),non_zero_periods (-0.260),demand_type (+0.209)
103,354W3200-3,0.13517587409572285,Low,sales_count_365d (-0.307),platform_applicability_count (-0.139),boeing_777_flag (-0.116)
104,R5365-3,0.13517587409572285,Low,sales_count_365d (-0.307),platform_applicability_count (-0.139),boeing_777_flag (-0.116)
105,RD-FA2051-01,0.13183099364791143,Low,sales_count_365d (-0.338),non_zero_periods (-0.264),url_ata_chapter (+0.158)
106,1152972-4,0.13104927842720407,Low,sales_count_365d (-0.315),non_zero_periods (-0.277),demand_type (+0.217)
107,473854-3,0.12854775634372842,Low,sales_count_365d (-0.318),url_ata_chapter (-0.230),non_zero_periods (-0.201)
108,177W3102-301,0.1282816772762747,Low,sales_count_365d (-0.302),ata_groups (-0.119),adi (-0.115)
109,177W3102-303,0.1282816772762747,Low,sales_count_365d (-0.302),ata_groups (-0.119),adi (-0.115)
110,177W3101-301,0.1282816772762747,Low,sales_count_365d (-0.302),ata_groups (-0.119),adi (-0.115)
111,177W3103-303,0.1282816772762747,Low,sales_count_365d (-0.302),ata_groups (-0.119),adi (-0.115)
112,177W3103-301,0.1282816772762747,Low,sales_count_365d (-0.302),ata_groups (-0.119),adi (-0.115)
113,177W3102-304,0.1282816772762747,Low,sales_count_365d (-0.302),ata_groups (-0.119),adi (-0.115)
114,177W3103-304,0.1282816772762747,Low,sales_count_365d (-0.302),ata_groups (-0.119),adi (-0.115)
115,2910040-101,0.1275325493936345,Low,sales_count_365d (-0.318),boeing_family_count (-0.272),url_ata_chapter (-0.257)
116,285W0955-102,0.12677589862483943,Low,sales_count_365d (-0.309),adi (-0.269),primary_platform_family (-0.159)
117,810214-1,0.1265909384728562,Low,sales_count_365d (-0.337),url_ata_chapter (-0.268),non_zero_periods (-0.259)
118,0A041-0240-31,0.12474284286970512,Low,sales_count_365d (-0.309),non_zero_periods (-0.246),demand_type (+0.144)
119,6026-01,0.12287020102816615,Low,sales_count_365d (-0.337),non_zero_periods (-0.263),url_ata_chapter (+0.180)
120,822-0006-105,0.12264697113642553,Low,non_zero_periods (-0.338),sales_count_365d (-0.317),platform_applicability_count (-0.154)
121,898052,0.11296199900289866,Low,boeing_717_flag (-0.731),boeing_family_count (-0.616),boeing_787_flag (+0.538)
122,8-732-01,0.11111005093097798,Low,sales_count_365d (-0.299),adi (-0.188),primary_platform_family (-0.156)
123,904800-01,0.11111005093097798,Low,sales_count_365d (-0.299),adi (-0.188),primary_platform_family (-0.156)
124,7715201-2,0.109124517848044,Low,sales_count_365d (-0.331),ata_groups (-0.130),primary_platform_family (-0.102)
125,62771-123,0.109124517848044,Low,sales_count_365d (-0.331),ata_groups (-0.130),primary_platform_family (-0.102)
126,24E507040G04,0.10784885353998702,Low,boeing_717_flag (-0.718),sales_count_365d (-0.298),boeing_767_flag (+0.254)
127,4089500-901,0.1058742647979148,Low,non_zero_periods (-0.415),sales_count_365d (-0.333),url_ata_chapter (-0.227)
128,2960035-101,0.10421473492915467,Low,sales_count_365d (-0.325),ata_groups (-0.171),primary_platform_family (-0.164)
129,2222254-1,0.09588867862468743,Low,ata_groups (-0.540),non_zero_periods (-0.394),sales_count_365d (-0.339)
130,311W1573-5,0.09571734332883833,Low,ata_groups (-0.369),sales_count_365d (-0.308),adi (-0.132)
131,62771-124,0.0949451743570526,Low,sales_count_365d (-0.337),non_zero_periods (-0.310),ata_groups (-0.190)
132,3215922-3,0.0825894548167198,Low,ata_groups (-0.327),sales_count_365d (-0.324),url_ata_chapter (-0.215)
133,4321561,0.07609869131128238,Low,non_zero_periods (-0.357),sales_count_365d (-0.319),url_ata_chapter (-0.185)
134,4404B000-004,0.04818197073787394,Low,ata_groups (-0.888),url_ata_chapter (-0.354),non_zero_periods (-0.342)
135,2040061-103,0.04394692407174088,Low,ata_groups (-0.987),sales_count_365d (-0.345),non_zero_periods (-0.331)
136,A12SA,0.04151022489503192,Low,platform_applicability_count (-1.539),boeing_717_flag (-0.663),sales_count_365d (-0.319)
